areasymbol	url
CA698	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_CA698_soildb_US_2003_[2025-09-08].zip
CA699	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_CA699_soildb_US_2003_[2025-09-08].zip
CA701	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_CA701_soildb_US_2003_[2025-09-03].zip
CA702	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_CA702_soildb_US_2003_[2025-09-03].zip
CA703	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_CA703_soildb_US_2003_[2025-09-03].zip
CA707	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_CA707_soildb_US_2003_[2025-09-03].zip
CA708	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_CA708_soildb_US_2003_[2025-09-03].zip
CA709	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_CA709_soildb_US_2003_[2025-09-03].zip
CA713	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_CA713_soildb_US_2003_[2025-09-03].zip
CA719	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_CA719_soildb_US_2003_[2025-09-02].zip
CA724	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_CA724_soildb_US_2003_[2025-09-02].zip
CA729	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_CA729_soildb_US_2003_[2025-09-08].zip
CA731	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_CA731_soildb_US_2003_[2025-09-02].zip
CA732	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_CA732_soildb_US_2003_[2025-09-08].zip
CA740	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_CA740_soildb_US_2003_[2025-09-02].zip
CA750	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_CA750_soildb_US_2003_[2025-09-02].zip
CA760	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_CA760_soildb_US_2003_[2025-09-02].zip
CA763	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_CA763_soildb_US_2003_[2025-09-08].zip
CA772	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_CA772_soildb_US_2003_[2025-09-08].zip
